Shot,Section,Timecode,Narration (s),Clip length (s),On-screen title,Narration,Image prompt,Video prompt,Video negative prompt
26,3. Mercury,3:35–3:44,9,10,,"Within hours, it does exactly what he promised. Your guts empty violently. To him, that's proof the sickness is being flushed out.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 1840s frontier settler in a faded plaid shirt and suspenders) sprinting out of the cabin door toward a wooden outhouse. Action: chalk speed lines trail behind; the quilt flaps off. Environment: the yard outside an 1840s log cabin with a wooden outhouse. Camera: Wide side-on shot. Lighting: daylight. Mood: Slapstick. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The settler bursts out of the cabin door and sprints across the yard to the outhouse in choppy stop-motion as the quilt flies off. The outhouse door slams. The camera pans to follow, with chalk speed lines trailing behind. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
27,3. Mercury,3:44–3:52,8,10,,"Then the mercury spreads through your blood and latches onto proteins inside your cells, jamming the machinery they run on.","A cell interior with proteins drawn as cream gear shapes. Action: small silver droplets clamp onto the gears. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Invasive. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","Silver droplets drift in and clamp onto the gear-shaped proteins. The gears slow, grind and stop with small chalk sparks. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
28,3. Mercury,3:52–4:08,16,10,,"Your mouth reacts first. Saliva pours out, pints of it a day, soaking your pillow. Your gums swell, darken, and pull away from your teeth. Teeth loosen. Some fall out. Your breath turns so foul that visitors stop at the door.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 1840s frontier settler in a faded plaid shirt and suspenders) lying in bed. Action: a stylized cartoon stream of drool soaks the pillow; a tin measuring jug on the floor is filling up. Environment: the interior of an 1840s log cabin on the American frontier with a stone hearth, quilts and rough-hewn furniture. Camera: Eye-level medium shot. Lighting: flickering orange hearth firelight, dark corners. Mood: Gross-out comic. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","A cartoon drool stream trickles onto the pillow and the tin jug fills. The camera slides to the cabin door, where a neighbor appears, sniffs the green stink lines, recoils and backs away. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
29,3. Mercury,4:08–4:18,10,10,,"And because the fever keeps returning, he keeps dosing you. Now your nerves are affected. Your hands tremble. You turn anxious and jumpy for no reason.","Close-up of the mitten hands of the patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 1840s frontier settler in a faded plaid shirt and suspenders) holding a tin cup. Action: tremor lines around the hands, water sloshing over the rim. Environment: the interior of an 1840s log cabin on the American frontier with a stone hearth, quilts and rough-hewn furniture. Camera: Close-up. Lighting: flickering orange hearth firelight, dark corners. Mood: Unsettling. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Close-up of the trembling mitten hands. Water sloshes over the rim of the tin cup and splashes. At the end, a clatter from off-screen makes the hands jolt. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
30,3. Mercury,4:18–4:27,9,10,,"Your kidneys, straining to filter all that metal, start to fail. In the worst cases, the flesh of the cheek itself rotted away.","Two line-drawn kidneys clogged with silver droplets. Action: the kidneys dim from mustard to grey. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Ominous. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","Silver droplets pile up inside the kidneys, the color fades slowly from mustard to grey, and a faint pulse slows. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
31,3. Mercury,4:27–4:40,13,10,,Doctors knew about all of this. They called it the medicine doing its job. Calomel was so damaging that the U.S. Army's top medical officer pulled it from military supplies in 1863.,"The healer (a tall, thin cut-paper cartoon figure with a long face and mitten hands, wearing a battered top hat and a dusty frock coat, carrying a leather doctor's bag) writing in a small notebook. Action: the doctor smiles contentedly, ignoring the patient behind him. Environment: the interior of an 1840s log cabin on the American frontier with a stone hearth, quilts and rough-hewn furniture. Camera: Eye-level medium shot. Lighting: flickering orange hearth firelight, dark corners. Mood: Dark irony. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The doctor scribbles contentedly in his notebook while the patient behind him dims into shadow. At the end, a large cut-paper ""REMOVED · 1863"" stamp slams down over the frame as a transition. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
32,3. Mercury,4:40–4:45,5,5,,Yet mercury teething powders were still being given to babies into the 1950s.,"A small generic vintage paper packet labeled 'TEETHING POWDER' on a counter beside a glass baby bottle. Action: a chalk-white warning triangle doodle appears above the packet. Environment: a pastel 1950s kitchen counter with checkered tiles. Camera: Eye-level macro shot. Lighting: bright cheerful daylight. Mood: Unsettling. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","A chalk-white warning triangle draws itself above the teething-powder packet and blinks twice. The baby bottle catches the light. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
33,4. Arsenic Wafers,4:45–4:51,6,5,ARSENIC WAFERS,"Arsenic wafers. It's 1895 in London, and pale skin is the height of fashion.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 1890s London woman in a high-collared mustard dress with her hair in a tidy bun) strolling with a lace parasol. Action: the woman walks past gas lamps as fog swirls. Environment: a foggy 1895 London street with gas lamps, brick terraces and a horse-drawn cab in the distance. Camera: Eye-level wide shot. Lighting: hazy grey daylight and warm gas lamps. Mood: Elegant, moody. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The woman strolls from left to right twirling her parasol. Fog rolls along the street and the gas lamps flicker. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
34,4. Arsenic Wafers,4:51–5:01,10,10,,"A newspaper ad promises small wafers that give you a flawless, porcelain complexion. The key ingredient is arsenic, and the ad insists it's perfectly safe.","A vintage newspaper page with an engraved-style ad showing a generic round tin and the words 'COMPLEXION WAFERS'. Action: the page rests on a tea table. Environment: an 1890s London parlour with lace curtains, a mahogany vanity mirror, patterned wallpaper and fog outside the window. Composition: ad centered in frame. Camera: Top-down macro shot. Lighting: soft greenish gaslight mixed with diffuse foggy window light. Mood: Seductive. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow top-down push over the newspaper. The engraved wafer tin in the ad gleams, and steam curls from a teacup at the edge of the frame. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
35,4. Arsenic Wafers,5:01–5:15,14,10,,"For a few weeks, you love the results. Your skin really does look paler. What you're actually seeing is arsenic damaging your blood, so less color reaches the surface. You're not glowing. You're anemic.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 1890s London woman in a high-collared mustard dress with her hair in a tidy bun) seated at the vanity mirror. Action: the woman admires her pale reflection, tiny sparkle doodles around her face. Environment: an 1890s London parlour with lace curtains, a mahogany vanity mirror, patterned wallpaper and fog outside the window. Camera: Over-the-shoulder shot into mirror. Lighting: soft greenish gaslight mixed with diffuse foggy window light. Mood: Pleased, vain. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Over-the-shoulder shot into the mirror. The woman tilts her head admiringly as sparkles pop. Then her reflection sags, the sparkles fade out, and dark circles appear under her eyes. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
36,4. Arsenic Wafers,5:15–5:28,13,10,,"Arsenic works by disguise. It looks enough like phosphate, a molecule your cells use to make energy, that they pull it in by mistake. Once it's inside, the cell's power supply starts sputtering.","Two simple molecule doodles side by side, one labeled 'PHOSPHATE', one labeled 'ARSENIC' wearing a fake mustache and round glasses. Action: the disguised molecule tips its hat. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Playful, sneaky. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","The mustached arsenic molecule tips its hat, adjusts its disguise and strolls toward the phosphate. A cell battery icon beside them starts to flicker. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
37,4. Arsenic Wafers,5:28–5:39,11,10,,"Over the following months, the signs creep in. Stomach cramps. Hands and feet that tingle, then burn, as if they're asleep and on fire at the same time.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 1890s London woman in a high-collared mustard dress with her hair in a tidy bun) in a parlour armchair. Action: she clutches her stomach with squiggle pain lines as calendar pages flutter past on the wall. Environment: an 1890s London parlour with lace curtains, a mahogany vanity mirror, patterned wallpaper and fog outside the window. Camera: Eye-level medium shot. Lighting: soft greenish gaslight mixed with diffuse foggy window light. Mood: Uncomfortable. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Calendar pages flutter off the wall. The woman clutches her stomach, tingle zigzags appear at her hands and feet, and then tiny doodle flames flicker there. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
38,4. Arsenic Wafers,5:39–5:52,13,10,,"Pale white bands appear across your fingernails. The skin on your palms thickens into hard, rough patches. And the cruelest irony? The complexion you paid for begins to darken, dotted with brown spots.","The reflection in the vanity mirror of the patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 1890s London woman in a high-collared mustard dress with her hair in a tidy bun). Action: her face is speckled with small brown dots and she gasps in shock, one hand raised showing pale white bands across the fingernails. Environment: an 1890s London parlour with lace curtains, a mahogany vanity mirror, patterned wallpaper and fog outside the window. Camera: Close-up via mirror. Lighting: soft greenish gaslight mixed with diffuse foggy window light. Mood: Ironic shock. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","In the mirror, brown dots pop onto her face one by one. She gasps and raises a hand, showing pale white bands across her nails. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
39,4. Arsenic Wafers,5:52–5:58,6,5,,"Keep eating them for years, and your risk of skin, lung, and bladder cancer climbs.","A rising line chart on parchment with three small organ icons: skin, lungs and bladder. Action: the oxblood line climbs steeply. Environment: an aged parchment infographic board. Camera: Straight-on infographic view. Lighting: even soft light. Mood: Serious. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The oxblood line draws itself, climbing steeply across the parchment chart, and the skin, lung and bladder icons pop in one after another. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
40,4. Arsenic Wafers,5:58–6:05,7,10,,These wafers were sold openly for decades. The beauty industry has changed a lot since then. Mostly.,"A Victorian shop window display stacked with generic round wafer tins and price tags. Action: a small crowd of cut-paper shoppers peers in. Environment: an 1890s London shopfront with gilt lettering and fog. Camera: Eye-level medium-wide shot. Lighting: warm shop light against grey fog. Mood: Casual, unsettling. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Cut-paper shoppers shuffle and peer into the shop window, fog drifts past, and the hanging shop sign creaks and sways. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
41,5. Tapeworm Diet Pills,6:05–6:18,13,10,TAPEWORM DIET PILLS,"Tapeworm diet pills. It's the early 1900s, and you want to lose weight fast. An ad promises you can eat whatever you like, because a sanitized tapeworm will eat it for you.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 1910s man in a striped waistcoat, rolled shirtsleeves and a bowler hat) standing on an old-fashioned bathroom scale. Action: the man frowns down at the dial. Environment: a 1910s city apartment with a white-tiled bathroom, porcelain fixtures and a small dining nook. Camera: Eye-level medium shot. Lighting: flat pale morning daylight through a frosted window. Mood: Frustrated. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The needle on the bathroom scale wobbles and settles high. The man frowns, sighs with his chest rising and falling, and the camera pushes in slowly. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
42,5. Tapeworm Diet Pills,6:18–6:24,6,5,,Historians still debate whether these pills ever contained real worms. But let's say yours did.,"The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 1910s man in a striped waistcoat, rolled shirtsleeves and a bowler hat) at the dining nook. Action: the man swallows a pill with a glass of water and winks at the camera. Environment: a 1910s city apartment with a white-tiled bathroom, porcelain fixtures and a small dining nook. Camera: Eye-level medium close-up. Lighting: flat pale morning daylight through a frosted window. Mood: Cheeky. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The man pops a pill, gulps water, then turns to the camera and winks. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
43,5. Tapeworm Diet Pills,6:24–6:39,15,10,,"A tiny larva settles in your gut, hooks its head onto your intestinal wall, and starts growing. A few centimeters. Then a meter. Then several meters, folded up inside you, absorbing your food straight through its skin.","A full-body silhouette with a long ribbon-like worm coiled through the intestines. Action: a mustard measuring tape unrolls alongside it. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Escalating disbelief. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","The tapeworm grows in stop-motion stages, coiling through the intestines, while the mustard measuring tape unrolls alongside to match its length. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
44,5. Tapeworm Diet Pills,6:39–6:52,13,10,,"At first, you barely notice. Some bloating. Some nausea. A strange, nagging hunger. You might even lose a little weight, which is exactly the kind of result that keeps a scam alive.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 1910s man in a striped waistcoat, rolled shirtsleeves and a bowler hat) at the dining table with a large plate of food. Action: the man's belly is slightly rounded and he looks queasy yet hungry. Environment: a 1910s city apartment with a white-tiled bathroom, porcelain fixtures and a small dining nook. Camera: Eye-level medium shot. Lighting: flat pale morning daylight through a frosted window. Mood: Uneasy. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The man eats heartily, his belly rounds slightly and he wobbles queasily. He keeps reaching for more food. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
45,5. Tapeworm Diet Pills,6:52–7:04,12,10,,"Then one morning, you spot something in the toilet. A flat, white segment. And it's moving. Tapeworms shed pieces of themselves packed with eggs, and some crawl out on their own.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 1910s man in a striped waistcoat, rolled shirtsleeves and a bowler hat) peering into an Edwardian porcelain toilet with a pull chain. Action: the man's eyes pop wide with a big chalk exclamation mark; toilet contents not shown. Environment: a 1910s city apartment with a white-tiled bathroom, porcelain fixtures and a small dining nook. Camera: Eye-level medium shot from beside the toilet. Lighting: flat pale morning daylight through a frosted window. Mood: Horrified comedy. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The man leans over the toilet and his eyes pop wide as a big chalk exclamation mark bounces above his head. He recoils, and the pull chain swings. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
46,5. Tapeworm Diet Pills,7:04–7:12,8,5,,"The real danger is getting the wrong species. Swallow pork tapeworm eggs, and the larvae don't stay in your gut.","Two cartoon worms side by side, one labeled 'BEEF', one labeled 'PORK' with small doodle devil horns. Action: the pork worm grins mischievously. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Ominous humor. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","The two cartoon worms bob gently. The pork worm's devil horns glow as it grins and wiggles its eyebrows. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
47,5. Tapeworm Diet Pills,7:12–7:22,10,10,,"They travel through your blood and form cysts in your muscles, your eyes, and your brain. That's how a diet pill ends in seizures.","A full-body silhouette. Action: small cream cyst bubbles light up in the leg muscles, one eye and the brain, with chalk-white jagged 'seizure' lines around the head. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Chilling. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","Cyst bubbles light up one after another: leg muscle, then eye, then brain. Jagged chalk lines flicker around the head. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
48,5. Tapeworm Diet Pills,7:22–7:28,6,5,,"Today, most tapeworm infections are cleared with a single dose of medicine. No weight-loss plan included.","A flat 2D cut-paper modern doctor handing a single pill to the patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a 1910s man in a striped waistcoat, rolled shirtsleeves and a bowler hat). Action: the man shrugs, mildly disappointed. Environment: a bright modern clinic exam room. Camera: Eye-level medium two-shot. Lighting: clean clinical light. Mood: Lighthearted. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The modern doctor hands over a single pill. The man takes it and gives an exaggerated disappointed shrug. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
49,6. Radium Water,7:28–7:38,10,10,RADIUM WATER,"Radium water. It's 1927. You're a wealthy American businessman who injured his arm, and your doctor suggests a fashionable new tonic. Water infused with radium.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a wealthy 1920s businessman in a pinstriped three-piece suit with slicked hair and his right arm in a sling) in the leather armchair. Action: the businessman winces, adjusting the sling. Environment: a 1920s wood-paneled mansion study with art deco lamps, a leather armchair, a globe and a drinks cart. Camera: Eye-level medium shot. Lighting: warm golden lamplight with a faint eerie green glow from the tonic bottles. Mood: Refined, uncomfortable. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The businessman winces and adjusts his sling. A silver tray with a glowing bottle slides into frame from the right, and its green glow pulses. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
50,6. Radium Water,7:38–7:46,8,10,,"Radioactivity is the scientific marvel of the age, and the label promises energy, vitality, and relief from almost everything.","A 1920s magazine-style montage of glowing green atom symbols and starbursts around a tonic bottle. Action: the atoms orbit and sparkle. Environment: an art deco magazine page backdrop in mustard and teal. Camera: Straight-on medium shot. Lighting: bright graphic glow. Mood: Exciting, retro. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Glowing atom symbols orbit the tonic bottle, starbursts twinkle, and the frame pulses in a retro zoom. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
51,6. Radium Water,7:46–7:55,9,10,,"You drink a bottle. You feel great. So you drink another. Over the next few years, you'll finish more than a thousand.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as a wealthy 1920s businessman in a pinstriped three-piece suit with slicked hair and his right arm in a sling) sipping from the glowing bottle. Action: sparkles pop around the businessman's beaming face. Environment: a 1920s wood-paneled mansion study with art deco lamps, a leather armchair, a globe and a drinks cart. Camera: Eye-level medium close-up. Lighting: warm golden lamplight with a faint eerie green glow from the tonic bottles. Mood: Euphoric. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The businessman sips and sparkles burst around him. The camera pulls back to reveal crates of empty glowing bottles stacking up behind him in stop-motion. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
52,6. Radium Water,7:55–8:06,11,10,,"Here's the problem. To your body, radium looks almost exactly like calcium. So it does what it always does with calcium. It builds it right into your bones.","A full skeleton line drawing. Action: toxic-green speckles settle into the bones. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Ominous. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","Toxic-green speckles rain down through the skeleton from skull to feet and settle into the bones, which begin to glow faintly. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
